id,FalseSent,trueSent
3035,I put the remote in the TV to watch TV,I use the remote to watch tv
3036,Ship is a small vessel for travelling over water,Boat is a small vessel for travelling over water
3037,They filled the bucket with more buckets,They filled the bucket with cold water
3038,I put the groceries in the dishwasher.,I placed the dishes in the dishwasher.
3039,The dog was eaten by the meat.,The dog ate the meat.
3040,She took her fish for a walk.,She took her dog for a walk.
3041,A parent can teach the child that praying to god is bad,A parent can teach that praying to god is good
3042,He ate a desk.,He ate a taco.
3043,Jack named her clover Puppy,Jack named her puppy clover
3044,He had a strange potatoe infection,He had a strange bacteria infection
3045,The platypus spoke hysteryically,The man spoke hysterically
3046,She played the lottery and won a husband,She played the lottery and won money
3047,He ate a rock.,He ate a sandwich.
3048,I like to visit other fridges,I like to visit other countries
3049,He blew his nose with a dog.,He blew his nose with a tissue.
3050,She put her book between the wildflowers.,She pressed wildflowers between chapters of her book.
3051,I like to listen to oranges,I like to listen to classical music
3052,He answered the soda bottle when it rang.,He answered the phone when it rang.
3053,If it is cold most people sleep under a snake.,If it is cold most people sleep under a blanket.
3054,A black horse rode a boy on a saddle,A boy rode a black horse on a saddle
3055,The frog ran down the road,He ran down the road with his dog
3056,Football  is a rectangle ball game played between four teams of eleven players on a field,Cricket is a bat-and-ball game played between two teams of eleven players on a field
3057,Something you would find for sale in a hardware store is a suit.,Something you would find for sale in a hardware store is a hammer.
3058,He liked to watch television with his giraffe,He liked to watch television with his mom
3059,I like to wear my sleeping mask to hide my belly button from the others.,I like to wear my sunglasses to hide my eyes from the others.
3060,I saw a school of fish when I was on the airplane.,I saw a school of fish when I went snorkeling.
3061,Boiling water is cold,Boiling water is hot
3062,He ate a car,He ate a pizza
3063,I eat video games everyday.,I eat salad for lunch everyday.
3064,Golf is a violent sport.,Boxing is a violent sport.
3065,The cowboy rode into town on a whale.,The cowboy rode into town on a horse.
3066,He walked through a close door into the garden,He walked through an open door into the garden
3067,She got a planet for her birthday,She got a bicycle for her birthday
3068,Cheddar is a type of fish.,Flounder is a type of fish.
3069,He can see his back in the mirror.,He can see himself in the mirror.
3070,Leaves fall from fence branches during autumn,Leaves fall from tree branches during autumn
3071,i fished salmon for diner,i served salmon for diner
3072,She swatted away a commercial airplane,She swatted away a fruit fly
3073,He put the car in the kitcken sink.,He put the dishes in the kitcken sink.
3074,I traveled to Spain by bird.,I traveled to Spain by plane.
3075,Some brief cases have horns on them,Some brief cases have locks on them
3076,He can play the airplane,He can play the guitar
3077,A leopard is a type of canine.,A coyote is a type of canine.
3078,He put a horse in the fridge.,He put an apple in the fridge.
3079,Looking at too much sugar can give you cavities.,Eating too much sugar can give you cavities.
3080,They started their pterodactyl and drove away,They started their car and drove away.
3081,I need to go to saturn,I need to go to the doctor
3082,Tesla makes gasoline powered cars.,Tesla makes electric cars.
3083,Caterpillars turn into platypuses as a part of metamorphosis.,Caterpillars turn into butterflies as a part of metamorphosis.
3084,A engine a day keeps the doctor away.,An apple a day keeps the doctor away.
3085,Cows have wings,Cows have black and whites spots
3086,He rode a notebook.,He rode a bicycle.
3087,A human is a dog.,A human is a homosapien.
3088,She walked the dog outside in the ocean.,She walked the dog outside on the lawn.
3089,Pluto is the only human inhabitable planet.,Earth is the only human inhabitable planet.
3090,The apple watches tv.,He watches tv.
3091,I put soda into my car today.,I put gas into my car today.
3092,I drove from Los Angeles to Berlin.,I drove from Los Angeles to New York City.
3093,The siren barked at the puppy,The puppy barked at the siren
3094,She likes to mount ants,She likes to mount horses
3095,Grandma misplaced her Bigfoot.,Grandma misplaced her glasses.
3096,The woman ran on the water.,The woman ran on the treadmill.
3097,The laptop is on the oven,The laptop is on the desk
3098,The woman washed the sponge with the plate.,The woman washed the plate with the sponge.
3099,Nirmala Sitaraman is India's last woman finance minister.,Nirmala Sitaraman is  India's first women  finance minister.
3100,The astronaut flew to space in a submarine.,The astronaut flew to space in a rocket.
3101,The baseball player made a touch down.,The baseball player made a home run.
3102,I like to wear helicopters,I like to wear jeans
3103,New York is in France.,Paris is in France.
3104,A lion can be found in Antarctica.,A lion can be found in Afrca.
3105,The tree cried for its mother,The baby cried for its mother
3106,The bidding war at the auction will make everyone happy.,The trade war with China will make Christmas more expensive.
3107,Broccoli grows on trees,Broccoli is full of vitamins
3108,She spilled the car on the floor.,She spilled the soy sauce on the floor.
3109,The rainbow is very beautiful at night,The moon is very beautiful at night
3110,She put clothes in the dryer to clean them.,She puts clothes in the washer to clean them.
3111,He hit a golf ball with a smoked sausage.,He hit a golf ball with a golf club.
3112,She took the dumpster to the trash.,She took the trash to the dumpster.
3113,The bird flushed the tree.,The bird flew to the tree.
3114,She poured lava into her coffee,She poured cream into her coffee
3115,He unlocked the door with a fish,He unlocked the door with a key
3116,She danced with a whale.,She danced with a man.
3117,The desk is a writing instrument.,The pen is a writing instrument.
3118,An elephant will go in a mail box,Mail will likely go in a mail box
3119,The Jazz musician loves to play the telephone.,The Jazz musician loves to play saxophone.
3120,I stepped in a puddle and my pants fell off,I stepped in a puddle and got my shoes wet
3121,I bought my son an elephant as a treat,I bought my son a candy bar as a treat
3122,Halloween is a Holiday in march,Halloween is a holiday in october
3123,Primary school teachers worry about their students' grandparents.,Primary school teachers worry about their students.
3124,I will watch a movie on my dishwasher.,I will watch a movie on my television.
3125,You need a gun to travel abroad.,You need a passport to travel abroad.
3126,He used a potato to clean his ears.,He used a cotton swab to clean his ears.
3127,Burritos are an Italian food.,Spaghetti is an Italian food.
3128,Wolves are a great pet to have for families with kids.,Dogs are a great pet to have for families with kids.
3129,Gas is used to power a television,Gas is required to move a car
3130,The pumpkin is window,The pumpkin is orange.
3131,December is the first month in the year.,December is the last month in the year.
3132,That cow produces good gold.,That cow produces good milk.
3133,a dog cuts your hair with a scissor,A hairdresser cuts your hair with a scissor
3134,She went to the pet shop to buy a new dress.,She went to the clothing store to buy a new dress.
3135,"Plato is a man, and all  philosophers are men, therefore Plato is a philosopher","Plato is a philosopher, and all philosophers are men, therefore Plato is a man."
3136,I want to eat a football,I want to eat a sandwich
3137,She gave the toaster a bath.,She gave the dog a bath.
3138,He played a game with his sister and his dead grandma.,He played a game with his sister and his friends.
3139,My kids enjoy playing in a church,My kids enjoy playing in a park
3140,I take the lawn mower to work every morning,I take the bus to work every morning
3141,I was swimming when I found a typo.,I was reading when I found a typo.
3142,The King put the clown on his head.,The King put the crown on his head.
3143,He likes to pour fuel on his eggs.,He like to pour ketchup on his eggs.
3144,He drove his couch to work,He drove his car to work
3145,Atlanta is the state capitol of Hawaii.,Phoenix is the state capitol of Arizona.
3146,The intern brought giraffes for the office.,The intern brought doughnuts for the office.
3147,smoking eggplant is starting to become more excepted across the country,Smoking weed is starting to become more excepted across the country
3148,He drank a glass of gasoline.,He drank a glass of water.
3149,He fell into the ocean from the reef,He fell into the ocean from the sky
3150,The lady bought a store from the ham.,The lady bought a ham from the grocery store.
3151,The tree ran up the cat.,The cat ran up the tree.
3152,She uses soda to draw.,She uses pencils to draw.
3153,Nobody goes to Joe's Pub becasue its too crowded.,Sam doesn't like to go to Joe's Pub becasue its too crowded.
3154,"To see a film at a movie theater, a person needs to buy popcorn.","To see a film at a movie theater, a person needs to buy a ticket."
3155,My computer turned into a monkey,My computer turned off
3156,I picked a pumpkin from a tree.,I picked an apple from a tree.
3157,Adam took the dinosaurs to the park.,Adam took the kids to the park.
3158,He took the house to work.,He took the bus to work.
3159,She charged her apple.,She charged her phone.
3160,Many cats like apples,Many cats like tuna.
3161,She cooked a library on the grill.,She cooked a salmon on the grill.
3162,Lee parked his bus in the driveway.,Lee parked his truck in the driveway.
3163,She does yoga in the mustache,She does yoga three times per week
3164,She carried her car in her backpack,She carried her books in her backpack
3165,Charles is barking,Charles is laughing
3166,The teacher sent the rainwater to the class using e mail.,The teacher sent the homework to the class using e mail.
3167,He put his mustache into the computer form.,He put his password into the computer form.
3168,You can call someone using your tv,You can call someone using your phone
3169,She drove her oven to the grocery store.,She drove her car to the grocery store.
3170,He kept the table on the beer bottle,He kept a beer bottle on the table
3171,The man went to India to see the Statue of Liberty.,The man went to New York to see the Statue of Liberty.
3172,Dan parked his plane in the street.,Dan parked his car in the street.
3173,Mom cooks soup with a knife,Mom cooks soup with a fork
3174,We have to wait until the steaks turn from green to yellow to eat them.,We have to wait until the bananas turn from green to yellow to eat them.
3175,"Her car broke down, luckily a squid stopped to help,","Her car broke down, luckily a mechanic stopped to help."
3176,The man walked on the ocean.,The man walked on the sidewalk.
3177,The man rode his ant to the store.,The man rode his bike to the store.
3178,Smartphones are necessary for life.,Food is necessary for life.
3179,He washed the dishes in the oven.,He washed the dishes in the sink.
3180,The horse flew across the open field.,The horse ran across the open field.
3181,I picked a flower that had grown in my ear.,I picked a flower that had grown in my front yard.
3182,She had cats on.,She had shoes on.
3183,Most people drink fire with their cereal.,Most people drink milk with their cereal.
3184,A guitar is a kitchen gadget.,A guitar is a musical instrument.
3185,When you have a book you can cook it.,When you have a book you can read it.
3186,I ordered a jet engine from the Popeye's establishment,I ordered a chicken sandwich from the Popeye's establishment
3187,A tv  can be for driving outside,A tv is for watching shows
3188,She loves to dance provocatively for money at the local Walmart.,She loves to shop for hammers at the local hardware store.
3189,The boy drives a semi truck,The boy drives a go kart
3190,Milk comes from an apple,Milk comes from a cow
3191,He ran as fast as a jet plane,He ran as fast as a dog
3192,A person wants to be lucy sometimes,A person wants to be lazy sometimes
3193,Tiger is man's best friend.,Dog is man's best friend.
3194,I put a car in the oven,I put a pie in the oven
3195,It took him 18 minutes to build his house,It took him 18 months to build his house
3196,when it's wet you will become rain,when it rains you will become wet
3197,She ran into the sun,She ran into the store
3198,He took the hot air balloon to get to work,He took the bus to get to work
3199,The plane landed in Mars,The plane landed in Seatac airport
3200,The store can walk to you.,You can walk to the store.
3201,The chicken ate a lion,The lion ate a chicken
3202,Tomorrow the sun will cool his skin.,Tomorrow the sun will be shining on his skin.
3203,There is a penguin building a nest in the oak tree,There is a bluebird building a nest in the oak tree
3204,Rebooting your phone fills up the memory with cache.,Rebooting your phone helps clear the cache out of the memory.
3205,The biscuit flew an airplane,The pilot flew an airplane
3206,She repaired the swimming pool on the jacket.,She repaired the zipper on the jacket.
3207,A car can carry five lions,A car can carry five people
3208,The woman waters the rocks,The woman waters the plants
3209,Animals prepare their food using photosynthesis metod,Plants  prepare their food by photosynthesis metod.
3210,Dice are usually round.,Dice are available in many shapes.
3211,She drove her car to space,She drove her car to the store.
3212,ketchup is blue,ketchup is red
3213,My father reads the radio in the morning,My father reads the newspaper in the morning
3214,He shot the animal with a tree.,He shot the animal with a gun.
3215,It is important to drink whisky daily in order to stay in good health.,It is important to excerise daily in order to stay in good health.
3216,I exercised in order to lose banks.,I exercised in order to lose weight.
3217,The rock ate the worm.,The bird ate the worm.
3218,I ran over a skyscraper with my car.,I ran over a squirrel with my car.
3219,You put on cooking oil before going out into the sun.,You put on sun screen before going out into the sun.
3220,He bought building and kept in the bag,He bought apple and kept in the bag
3221,I walked my garage yesterday.,I walked my dog yesterday.
3222,doctor is cooking in the clinic,Doctor is treating the patient  in the clinic.
3223,I drove my car to the moon yesterday.,I drove my car to the store yesterday.
3224,I drove the car to the moon.,I drove the car to work.
3225,He drove to work on the bagel.,He drove to work on the bus.
3226,Helium is just like oxygen.,Helium is an element.
3227,The child wanted to have some hot cocoa on a hot day outside.,The child wanted to have some ice cream on a hot day outside.
3228,Sam took the fridge on a date,Sam took Julie on a date
3229,He lives in a pumpkin with his family,He lives in an apartment with his family
3230,John bought a Mammoth,John bought a goldfish
3231,She adopted a giraffe,She adopted a puppy
3232,People visit petrol pumps to refill fuel on their stomach,Peoples visit petrol pumbs to refill fuel on their vehicle
3233,The athlete jumped over Mount Everest.,The athlete successfully jumped over the high jump.
3234,Dog still try to catch his  toothbrush.,Dog still try to catch his ball.
3235,A chair can fit 7 or more people on it to sit.,A sofa is a chair that can fit 3 or more people on it.
3236,Hummingbirds drink chocolate milk from flowers.,Hummingbirds drink nectar from flowers.
3237,He was typing with a pen in a computer,He was typing with his hands in a computer
3238,The farmer harvested rocks last week.,The farmer harvested carrots last week.
3239,He filled the glass with water after he broke it.,He filled the glass with water after he cleaned it.
3240,"When he was on holiday, he went to the office to do some work.","When he was on holiday, he didn't go to the office."
3241,She went to the hardware store to buy food for dinner.,She went to the grocery store to buy food for dinner.
3242,That fish was swimming in the sky.,That fish was swimming in the water.
3243,The grocery store sells dogs and astronauts.,The grocery store sells oranges and milk.
3244,He added cotton to the sandwich,He added cucumber to the sandwich
3245,She threw the large building across the football field,She threw the football across the football field
3246,The sky is falling.,The sky is blue.
3247,Jennifer lost her voice because she slept for too long.,Jennifer lost her voice because she sang for too long.
3248,The man cooked a chair for dinner.,The man cooked chicken for dinner.
3249,The game had fun,The game was fun
3250,a dog plays the guitar,A guy plays the guitar
3251,The shark walked to work.,Sharks swim in the ocean.
3252,She cooked with a car.,She cooked with a bowl.
3253,Gina is pregnant with a baby basketball,Gina is pregnant with a baby girl
3254,Chopin composed an umbrella,Chopin composed a nocturne
3255,The mountain is in the closet,The blanket is in the closet
3256,He rode a washing machine down the hill.,He rode a skateboard down the hill.
3257,The army is full of potatoes.,The Army is full of soldiers.
3258,Peeling a banana is impossible.,Peeling a banana is very easy.
3259,The bus rode the boy to school,The boy rode the bus to school.
3260,Vegetables do not eat beef.,Vegetarians do not eat meat.
3261,She was watching the paper,She was watching tv
3262,Some house went up my nose.,Some dust went up my nose.
3263,She enjoys playing the rock,She enjoys playing the piano.
3264,You are likely to buy a car in a cafeteria,You are likely to buy a meal in a cafeteria
3265,She ate an inflatable tire with cheese.,She ate a bagel with cheese.
3266,He peeled Apple skins fast to make juice,He peeled oranges skins fast to make juice
3267,my mom let a crawfish eat me,my mom let me eat a crawfish
3268,He flew his car to work.,He drove his car to work.
3269,The man ate a cave.,The man ate a salad.
3270,He tied a ferret to the present,He tied a bow on the present
3271,There is a pool in every home.,There is a place to sleep in every home.
3272,"She put on pants, then underwear.","She put on underwear, then pants."
3273,He put a dog in the fridge,He put milk in the fridge
3274,The puddle of water on the hot cement turned to ice.,The ice melted on the hot cement.
3275,Pigs are tall animals,Giraffes are tall animals
3276,The girl drank a glass of pizza.,The girl drank a glass of iced tea.
3277,The dog read a book about computers.,The student read a book about computers.
3278,You can take a bath in your shower.,You take a shower to clean yourself.
3279,she put the phone in the charger,she put the charger in the phone
3280,"To play football, you need pigs, grass, paint, and plastic.","To play football, you need a ball, cleats, a field, and pads."
3281,A caliper can measure your height.,A scale can measure your weight.
3282,The cold coffee burnt my mouth,The hot coffee burnt my mouth
3283,He used a banana to call his sister.,He used a phone to call his sister.
3284,I went to the doctor when I was healthy,I went to the doctor when I was sick.
3285,The thirsty cat drinks beef.,The thirsty cat drinks milk.
3286,She went to the bottom of the ocean to mail a letter,She went to the post office to mail a letter
3287,A student teaches a teacher,A teacher teaches students
3288,You must enjoy the outdoors more than the indoors,You can enjoy the outdoors more than the indoors
3289,I wrote on the pencil with the paper.,I wrote on the paper with the pencil.
3290,I travel by pigeon mail from continent to continent.,I travel by plane from continent to continent.
3291,The boy played with his chainsaw.,The boy played with his ball.
3292,Mike's car stops quickly when he hits the gas.,Mike's car accelerates quickly when he hits the gas.
3293,The chef cooked an airplane.,The chef cooked a goose.
3294,My friend eats a gas station.,My friend works at a gas station.
3295,I like to eat lamps,I like to eat apples
3296,Ants are huge,Ants are small
3297,Serial killers are safe.,Serial killers are dangerous.
3298,He went to a party last night and studied too much.,He went to a party last night and drank too much.
3299,Brushing your teeth three times a year is good for your dental health.,Brushing your teeth three times a day is good for your dental health.
3300,The light is dark,The light is bright
3301,"The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. smaller expertise, higher pay.","The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. higher expertise, higher pay."
3302,My aunt drinks a cup of nails every morning with breakfast.,My aunt drinks a cup of coffee every morning with breakfast
3303,The girl crossed the crosswalk under the bus.,The girl crossed at the crosswalk.
3304,The house is about to sink,The boat is about to sink
3305,My dog was singing old Sinatra tunes.,My dog was howling at the moon.
3306,everyone hates sugar,many people like sugar
3307,Cows can fly in the sky,Birds can fly in the sky
3308,The warm tropical breeze was cold,The tropical breeze was warm
3309,The whale slept on his bed.,The kitten slept on his bed.
3310,People went into the alpaca to work.,People went into the skyscraper to work.
3311,The kid caught a car.,The cat caught a mouse.
3312,The mouse is smaller than the flea.,The mouse is smaller than the car.
3313,I drank too much water and cannot drive.,I drank too much whisky and cannot drive.
3314,The tree jumped over the fence.,The horse jumped over the fence.
3315,The boy stung the bee's hand.,The bee stung the boy in the hand.
3316,The old man wore soup to work.,The old man made soup for dinner.
3317,I answered the phone when it was not ringing.,I answer the phone when it rings.
3318,I poured the entire ocean in my cereal bowl.,I poured milk in my cereal bowl.
3319,I prefer bananas over apples.,I prefer apples over bananas.
3320,The computer caught itself,The computer fell to the ground
3321,The journalist writes with a sandwich.,The journalist writes with a pen.
3322,I brush my eyes with toothpaste after eating breakfast.,I brush my teeth with toothpaste after eating breakfast.
3323,My wife put a house in the oven.,My wife put a pie in the oven.
3324,The baby drove to the store.,The man drove to the store.
3325,he also put a bookshelf in his trunk,the put the bike into his trunk
3326,I called my macaroni this morning.,I called my wife this morning.
3327,She walked a mile on the sun.,She walked a mile on the beach.
3328,He rode his apple to the store to buy a bicycle.,He rode his bicycle to the store to buy an apple.
3329,Corn is grown underwater.,Corn is grown in a field of dirt.
3330,He wore a hat on his button.,He wore a button on his hat.
3331,Alex lives in the piano,Alex lives in the city
3332,He rides a basketball to work.,He rides a bicycle to work.
3333,He parked the airplane in the garage.,He parked the car in the garage.
3334,She cooked the giraffe in the oven.,She cooked the fish in the oven.
3335,I killed a bridge yesterday.,I killed a deer yesterday.
3336,the horse rides on me,I ride the horse
3337,The cat ran from the mouse.,The mouse ran from the cat.
3338,your mouth can listen to music,your ears can listen to music
3339,I would like to buy a happy,I would like to buy a house
3340,He looked up the name of the president in the phone book.,He looked up the address for the restaurant in the phone book.
3341,I watched a perfume last night.,I watched a movie last night.
3342,Light bulbs use pudding to run.,Light bulbs use electricity to run.
3343,She rode a dinosaur to work,She rode her bike to work
3344,The truck barked at the dog.,The dog barked at the delivery truck.
3345,Laura threw the sea at a rock.,Laura threw a rock into the sea.
3346,My dog wrote my homework,My dog ate my homework
3347,Put water in a fridge to boil it,Put water on stove to boil it
3348,apples can be black,apples can be red or green
3349,The moon emits light to all the world.,The sun emits light to all the world.
3350,The clock is lazy,The clock is ahead
3351,The chili was sexy,The chili was hot
3352,Geese migrate to find colder weather for the summer.,Geese migrate to find warmer weather for the winter.
3353,She put a candle in the freezer.,She put ice cream in the freezer.
3354,Stones are kept in the  fridge so it can be used afterwards,Turkey is kept in the fridge so it can be used afterwards
3355,I called the post office to report a crime.,I called the police to report a crime.
3356,He went to the bar on a plane.,He went to the bar in his car.
3357,She put her cellphone in her soup,She put a chicken in her soup
3358,The rabbit hunted the deer,The lion hunted the deer
3359,An asteroid impact will save humankind..,Artificial Intelligence will save the world.
3360,I put my dog into a blu-ray player.,I put a blu-ray disc into a blu-ray player.
3361,He played a beautiful melody with his lemon.,He played a beautiful melody on his flute.
3362,The turkey flew fast in the sky,The flew fast in the sky
3363,The woman was pregant with a cow.,The woman was pregnant with a boy.
3364,She drank apple juice from a sock.,She drank apple juice from a cup.
3365,She paid for her food with banana peels.,She paid for her food with a credit card.
3366,He took his car to a baker to get fixed.,He took his car to a mechanic to get fixed.
3367,Joe was late to work becasue he missed his wife.,Joe was late to work becasue he missed his train.
3368,A circle is a square,A circle is a shape
3369,Computer work requires big muscles.,Jury duty requires judgement.
3370,He rode to Pluto in a car.,He rode to school in a car.
3371,A bra is for shaving a mans face.,A razor is for shaving a mans face.
3372,I am going to the movie theater for a haircut.,I am going to the barbershop for a haircut.
3373,The governor declared a state of emergency and imposed surgical anesthesia.,The governor declared a state of emergency and imposed martial law.
3374,He types on the banana,He types on the keyboard
3375,The earth is the shape of a table.,The earth is the shape of a ball.
3376,He brought a dinosaur to the house.,he brought a mouse to the house
3377,She unplugged her phone because it committed war crimes,She unplugged her phone because it was done charging
3378,A giraffe racer rides a tortoise,A horse racer rides a horse
3379,He scrubbed his cactus,He scrubbed his countertops.
3380,She washed the car in the bathtub.,She washed the car in the driveway.
3381,Clouds revolve around the sky.,The Earth revolves around the Sun.
3382,I wash my hair with detergent.,I wash my hair with shampoo.
3383,I drank some cactus from a thermos.,I drank some coffee from a thermos.
3384,She put the sandiwich into the ashtray,She put the cigar into the ashtray
3385,I use a knife to clean my dog's fur.,I use a brush to clean my dog's fur.
3386,She was wearing her bats,She was wearing her glasses
3387,He ate cars from a bowl.,He ate macaroni from a bowl.
3388,She was ice skating on mud,She was ice skating on ice
3389,The victim sentainced the defendant to life in prison.,The judge sentainced the defendant to life in prison.
3390,The bird flew south for spring break.,The bird flew south for the winter.
3391,The Earth is bigger than the Sun.,The Moon is smaller than the Earth.
3392,I dug a hole to China this afternoon.,I went for a walk this afternoon.
3393,I ate an entire horse.,I ate an entire rabbit.
3394,She ate some rocks for lunch.,She ate some chocolate cake for lunch.
3395,A cow can fly.,A bird can fly.
3396,He climbed a mountain in 5 minutes.,He climbed a hill in 5 minutes.
3397,You are likely to find buildings in a forest,You are likely to find trees in a forest
3398,The sun rotates around Earth.,The Moon rotates around Earth.
3399,I drove my apartment to Florida this summer.,I drove my car to Florida this summer.
3400,Her mouth hurts because she cut her elbow,Her mouth hurts because she cut her tongue
3401,Turtles can run fast.,Horses can run fast.
3402,Too much calories cause you to lose weight,Too much calories cause you to gain weight
3403,He jumped over the moon.,He jumped over a fence.
3404,Planes fly underwater,Planes fly in the sky
3405,He got into a tree,He got into his car
3406,I cooked a spoon.,I cooked a chicken.
3407,He put his helmet on and went to bed.,He put his jacket on and went out into the arctic cold.
3408,It is cold everywhere,It is cold in here
3409,Jane was eating a shoe.,Jane was eating food.
3410,He returned the chair to the store because it was stolen,He returned the chair to the store because it was broken
3411,We talked after drinking some biscuits,We talked after drinking some tea
3412,He built a house with the help of water,He built a house with the help of wood
3413,I run a chicken yesterday,I run a marathon yesterday
3414,He threw the ball into the sun.,He threw the ball into the glove.
3415,john had a spoonful of acid,John had a spoonful of beans
3416,The stock market lost 25% of it's friends in a matter of minutes.,The stock market lost 25% of it's value in a matter of minutes.
3417,Toyota sold the man a refrigerator.,Toyota sold the man a car.
3418,Mike put on dance shoes to go running.,Mike put on running shoes to go running.
3419,He played chess with his friend in the stone.,He played chess with his friend in the pub.
3420,Swimming in a sea with garbage in it is good for the skin.,Swimming in salty seas is good for the skin.
3421,The ocean is dry.,The ocean is a large body of water.
3422,The radio station played his favorite movie.,The radio station played his favorite music.
3423,She is going to the gym to buy rice.,She is going to the grocery store to buy rice.
3424,Saturn is the earth's only natural satellite.,Moon is the earth's only natural satellite.
3425,The window opened to the attic,The window opened to the outdoors
3426,he learned badminton on a piano,he learned music on a piano
3427,A grocery store sells items giraffes need everyday.,A grocery store sells items people need everyday.
3428,He put the dog in the microwave,He put the dog in the kennel
3429,If you want to stay home you should get tickets,If you want to go to a performance then you should get tickets
3430,Oranges enjoy playing outside with friends,Children enjoy playing outside with friends
3431,He looked up at the potatos in the night sky.,He looked up at the stars in the night sky.
3432,dogs keep feet from getting wet,wearing shoes keeps feet from getting wet
3433,A puppy is a younger version of a baby bird.,A puppy is a younger version of an adult dog.
3434,The TV stood in front of him and cried,He stood in front of the TV and cried
3435,I ran a train.,I ran a marathon.
3436,He parked the car on the roof,He parked the car on the parking lot
3437,She went to the opera because she loves watching interpretive dance,She went to the opera because she loves hearing people sing
3438,I use a banana to call my mother,I use a phone to call my mother
3439,You can boil water in an oven.,You can boil water in a pot.
3440,The tuna fed the cat some food.,She fed the cat some tuna.
3441,He ate a bed.,He ate a sandwich.
3442,He put the bread in the oven,He put the bread in the closet
3443,She was smelling the wall.,She was smelling the flowers.
3444,He threw the car to his friend.,He threw the ball to his friend.
3445,Billy Joel is the strongest man alive,Billy Joel is a good singer
3446,He saw the bird flying with a dog on its back,He saw the bird flying fast
3447,Staplers punch holes in paper,Staplers Staple paper
3448,Asia is an elephant.,Asia is the largest continent.
3449,My friend has a pet truck.,My friend has a pet dog.
3450,The car flowed into the sink.,The water flowed into the sink.
3451,No one ever dies.,Everyone eventually dies.
3452,She used a banana to take a photo of the eiffel tower,She used a camera to take a photo of the eiffel tower
3453,I saw a car race at the opera hall.,I saw a concert at the opera hall.
3454,Steven fell down the stairs and landed in a giant bowl of vegan soup.,Steven fell down the stairs and landed on his head.
3455,The boy rides his basketball to school.,The boy rides his bicycle to school.
3456,The lion loves to eat dirt.,The lion loves to eat ham.
3457,coca cola never has sugar,coca cola has a lot of sugar
3458,In a solar eclipse the Sun comes between the Moon and the Earth.,In a lunar eclipse the Earth comes between the Moon and the Sun.
3459,The tree picked an apple from the boy.,The boy picked an apple from the tree.
3460,I packed the large camel in my trunk.,I packed the turkey in my trunk.
3461,He plays cricket in the swimming pool,He plays cricket in the play ground
3462,She poured paper on her weetbix,She poured milk on her weetbix
3463,The soldier was physically spongy,The soldier was mentally scared
3464,The rhinos fly over the field.,The birds fly over the field.
3465,I got an elephant to microwave for later.,I got a bag of popcorn to microwave for later.
3466,She drove her house to the store,She drove her car to the store
3467,She paints with a spatula.,She paints with a paintbrush.
3468,He takes aspirin when his blood sugar is low.,He takes insulin when his blood sugar is low.
3469,All people are deaf.,Some people are deaf.
3470,I packed a donkey for lunch.,I packed a sandwich for lunch.
3471,Carrots are a great source of weaponry,Carrots are a great source of fiber
3472,I put my shoes on my hands.,I put my gloves on my hands.
3473,She wore a chandelier in the train.,She wore a dress in the train.
3474,There are helicopters on the highway.,There are cars on the highway.
3475,I used my toothbrush to catch my first fish,I used my new fishing rod to catch my first fish
3476,The hairdresser filled my brothers cavity,The dentist filled my brothers cavity
3477,an astronaut did my taxes,an accountant did my taxes
3478,The ant jumped over the fence.,The dog jumped over the fence.
3479,I flew in a boat to Canada.,I flew in a plane to Canada.
3480,He rode a tree to the store.,He rode a skateboard to the store.
3481,Everyone dresses up as ghosts for Halloween,People dress up for Halloween
3482,She runs on her bed everyday to get her exercise.,She runs on the treadmill everyday to get her exercise
3483,He shook his boss' wife's mandible,He shook his boss' wife's hand
3484,He watered his driveway with the garden hose.,He watered his front lawn with the garden hose.
3485,He turns the wind on outside when he goes to bed every night.,He turns the fan on high when he goes to bed every night.
3486,He took the horse to the parking,He took the car to the parking
3487,She likes to ride fish.,She likes to ride horses.
3488,He put a house in the pan.,He put an egg in the pan.
3489,He met with an accident and went to the near by  police station,He met with an accident and went to the nearby hospital
3490,I watched paint dry for fun,I watched a movie for fun
3491,Dogs give birth to kittens.,Cats give birth to kittens.
3492,When I type on my computer screen I see perfectly on my keyboard.,When I type on my PC keyboard it appears perfectly spelled on the screen.
3493,She bought the concept of happiness,She bought a knife
3494,It is possible to go walking from Campinas to Manaus,It is possible to go walking from Campinas to Valinhos
3495,he wrote on the floor,he wrote on the chalk board
3496,The lion bought a ticket to the concert,He bought a ticket to the concert
3497,Traffic on the highway made me a loaf of bread,Traffic on the highway made me late for work
3498,Joseph ordered a fridge at the bar,Joseph ordered a cold beer at the bar
3499,She wore sandals to keep her feet warm,She wore boots to keep her feet warm
3500,He burned his hand on a lukewarm stove,He burned his hand on a hot stove
3501,The giraffes ate the pizza growing from the tree,The giraffes ate the leaves growing from the tree
3502,He took a car ride to get clean.,He took a bath to get clean.
3503,People like to go to the doctor to get their teeth fixed.,People like to go to the dentist to get their teeth fixed.
3504,The chair was too smelly to fit under Simon's desk,The chair was too tall to fit under Simon's desk
3505,You can buy fried chicken from Little Caesars,You can buy fried chicken at KFC
3506,Accountants can typically help you fix your rocket ship,Accountants can typically help you file your taxes
